QSO_ID Z_EM Z_LLS TAU TAU_ERR LOG_NHI LOG_NHI_ERR_LOW LOG_NHI_ERR_HIGH SAMPLE INSTRUMENT
J1423+3252 1.905 1.176 2.09 -99.0 17.52 -99.0 -99.0 R2 STIS
J1426+0051 1.333 0.844 1.29 -99.0 17.31 -99.0 -99.0 MgII STIS
J1427-1203 0.805 0.652 2.76 -99.0 17.64 -99.0 -99.0 R2 FOS-L
J1431-0050 1.188 0.858 1.51 -99.0 17.38 -99.0 -99.0 LQ STIS
B1435+6349 2.068 1.938 1.88 0.07 17.48 0.02 0.01 R1 FOS-H
B1435+6349 2.068 1.925 3.03 -99.0 17.68 -99.0 -99.0 LQ FOS-H
J1436-0051 1.273 1.264 0.98 0.06 17.2 0.03 0.02 PLLS STIS
J1436-0051 1.273 0.930 1.78 -99.0 17.45 -99.0 -99.0 MgII STIS
J1455-0045 1.375 1.095 3.12 -99.0 17.69 -99.0 -99.0 MgII STIS
J1501+0019 1.93 1.486 3.5 -99.0 17.74 -99.0 -99.0 MgII STIS
J1513+1011 1.546 1.042 3.71 -99.0 17.77 -99.0 -99.0 R1,R2 FOS-L
B1517+2356 1.903 1.887 0.53 0.03 16.93 0.02 0.02 PLLS FOS-H
B1517+2356 1.903 1.725 1.95 0.09 17.49 0.01 0.02 R1 FOS-H
J1521-0009 1.318 0.961 1.92 -99.0 17.48 -99.0 -99.0 MgII STIS
J1525+0026 0.801 0.797 1.33 -99.0 17.33 -99.0 -99.0 Prox STIS
J1537+0021 1.754 1.647 3.41 -99.0 17.73 -99.0 -99.0 MgII STIS
J1537+3358 1.025 0.915 3.03 -99.0 17.68 -99.0 -99.0 DLA STIS
J1539+4735 0.772 0.730 1.21 0.1 17.29 0.04 0.03 R1 FOS-L
J1601+1714 1.952 1.581 1.87 0.27 17.48 0.07 0.06 R1 FOS-L
J1614+4704 1.86 1.867 0.47 0.04 16.87 0.03 0.04 Prox,PLLS STIS
J1614+4704 1.86 1.735 0.54 0.05 16.93 0.04 0.04 PLLS STIS
J1614+4704 1.86 1.411 3.98 -99.0 17.8 -99.0 -99.0 R1,R2 STIS
B1622+2352 0.927 0.891 2.24 -99.0 17.55 -99.0 -99.0 MgII FOS-H
B1623+2653 2.526 1.042 3.08 -99.0 17.69 -99.0 -99.0 R1,R2 FOS-L
J1629+3808 1.461 1.110 1.6 0.09 17.41 0.02 0.03 R1 FOS-L
B1630+3744 1.478 1.096 0.29 0.04 16.66 0.06 0.05 PLLS,IUE FOS-H
J1631+1156 1.792 0.902 1.51 -99.0 17.38 -99.0 -99.0 MgII STIS
J1637+2509 1.11 0.894 1.56 -99.0 17.39 -99.0 -99.0 DLA STIS
J1649+3046 1.123 1.078 3.41 -99.0 17.73 -99.0 -99.0 R1,R2 STIS
J1701+6412 2.722 2.293 0.31 0.05 16.69 0.08 0.07 PLLS,IUE STIS
J1701+6412 2.722 2.160 0.51 0.05 16.92 0.05 0.04 PLLS,IUE STIS
J1701+6412 2.722 1.846 0.39 0.06 16.8 0.07 0.06 PLLS,IUE STIS
J1701+6412 2.722 1.725 0.56 0.07 16.95 0.06 0.05 PLLS,IUE STIS
J1704+7057 2.015 1.810 2.6 0.13 17.62 0.02 0.02 R1,R2 STIS
J1704+7057 2.015 1.101 2.31 -99.0 17.56 -99.0 -99.0 R2 STIS
J1712+5559 1.358 1.209 3.0 -99.0 17.68 -99.0 -99.0 MgII STIS
B1715+5331 1.94 1.633 0.64 0.03 17.01 0.02 0.02 PLLS FOS-H
J1727+5302 1.444 1.032 2.49 -99.0 17.6 -99.0 -99.0 MgII STIS
J1727+5302 1.444 0.948 -99.0 -99.0 -99.0 -99.0 -99.0 MgII,Blue STIS
J1729+5758 1.342 1.130 0.35 0.04 16.74 0.05 0.05 PLLS STIS
J1733+5533 1.072 1.000 3.29 -99.0 17.72 -99.0 -99.0 MgII STIS
J1736+5938 1.41 1.400 3.5 -99.0 17.74 -99.0 -99.0 Prox STIS
B1821+1042 1.36 1.252 3.27 -99.0 17.71 -99.0 -99.0 MgII FOS-H
J1858+5645 1.595 1.235 3.65 -99.0 17.76 -99.0 -99.0 MgII STIS
J2051+1950 2.367 1.747 2.96 -99.0 17.67 -99.0 -99.0 R2 STIS
J2144-0754 1.811 1.802 3.55 -99.0 17.75 -99.0 -99.0 Prox STIS
J2151+2130 1.534 1.004 1.87 -99.0 17.47 -99.0 -99.0 MgII STIS
J2151+2130 1.534 0.915 -99.0 -99.0 -99.0 -99.0 -99.0 MgII,Blue STIS
J2215-2944 2.706 1.954 1.77 0.06 17.45 0.01 0.02 R1 STIS
J2215-2944 2.706 1.900 0.44 0.08 16.85 0.09 0.07 PLLS STIS
J2215-2944 2.706 1.610 0.62 0.09 16.99 0.06 0.06 PLLS STIS
J2233-6033 2.238 1.929 1.53 0.03 17.39 0.01 0.01 R1 STIS
J2233-6033 2.238 1.872 0.48 0.03 16.88 0.02 0.03 PLLS STIS
J2331+0038 1.486 1.143 3.77 -99.0 17.78 -99.0 -99.0 MgII STIS
J2339-0029 1.34 0.967 1.98 -99.0 17.5 -99.0 -99.0 MgII STIS
J2352-0028 1.624 1.245 2.62 -99.0 17.62 -99.0 -99.0 MgII STIS
