QSO_ID QSO_RA QSO_DEC Z_EM R1_ZMIN R1_ZMAX R2_ZMIN R2_ZMAX
J1323-0021 200.84893799 -0.36570999 1.388 1.331 1.364 1.085 1.364
J1331+3030 202.78456116 30.50912857 0.846 0.701 0.828 0.701 0.828
J1336+1725 204.0083313 17.42027855 0.554 0.502 0.538 0.502 0.538
J1341+0059 205.47598267 0.99675 1.714 1.597 1.687 1.597 1.687
J1341+4123 205.25332642 41.38724899 1.204 0.683 1.182 0.502 1.182
J1342+6021 205.5552063 60.36191559 0.961 0.258 0.941 0.258 0.941
J1343+2844 205.75083923 28.73555565 0.905 0.704 0.886 0.499 0.886
J1345-0023 206.44924927 -0.38995999 1.095 0.811 1.074 0.784 1.074
J1351-0007 207.96008301 -0.1276944 1.444 1.159 1.42 1.159 1.42
J1354+0052 208.74458313 0.86944437 1.121 0.667 1.1 0.667 1.1
J1357+1919 209.26875305 19.31850052 0.719 0.608 0.702 0.497 0.702
J1404-0130 211.19099426 -1.50613058 2.522 1.719 2.482 1.719 2.482
J1409+2618 212.3494873 26.30589104 0.945 0.502 0.926 0.502 0.926
J1418+1703 214.51541138 17.05691719 0.821 0.725 0.803 0.495 0.803
J1419-0036 214.83757019 -0.61496001 0.969 0.822 0.949 0.822 0.949
J1420-0054 215.21017456 -0.90750003 1.458 1.332 1.433 1.332 1.433
J1423+3252 215.85882568 32.87252045 1.905 1.49 1.876 1.176 1.876
J1426+0051 216.71194458 0.86394 1.333 0.94 1.31 0.838 1.31
J1427-1203 216.90875244 -12.06386089 0.805 -99.0 -99.0 0.652 0.787
J1431+3952 217.83558655 39.87819672 1.215 0.823 1.193 0.803 1.193
J1431-0050 217.93226624 -0.83679998 1.188 0.942 1.166 0.858 1.166
J1436-0051 219.18751526 -0.86423999 1.273 1.109 1.25 0.919 1.25
J1437-0147 219.4511261 -1.78649998 1.31 0.499 1.287 0.499 1.287
J1455-0045 223.78401184 -0.75233001 1.375 1.095 1.351 1.095 1.351
J1501+0019 225.34771729 0.32751 1.93 1.486 1.901 1.486 1.901
J1502-4154 225.7300415 -41.90827942 1.026 -99.0 -99.0 1.001 1.006
J1504+0122 226.20904541 1.37096941 0.967 0.271 0.882 0.259 0.882
J1513+1011 228.37220764 10.18496418 1.546 1.042 1.521 1.042 1.521
J1521-0009 230.25822449 -0.1512 1.318 1.094 1.295 0.955 1.295
J1524+0958 231.10220337 9.9748497 1.324 0.501 1.301 0.501 1.301
J1527+2452 231.75733948 24.8804493 0.993 -99.0 -99.0 0.946 0.973
J1537+0021 234.30725098 0.35429999 1.754 1.632 1.726 1.632 1.726
J1537+3358 234.3792572 33.97720718 1.025 0.902 1.005 0.902 1.005
J1539+4735 234.89497375 47.59211731 0.772 0.715 0.754 0.52 0.754
J1544+5912 236.08375549 59.20722198 0.807 0.26 0.789 0.259 0.789
J1601+1714 240.33479309 17.23770905 1.952 1.581 1.736 1.538 1.751
J1614+4704 243.64440918 47.07230759 1.86 1.405 1.831 1.405 1.831
J1619+3813 244.94525146 38.22467041 1.124 0.258 0.883 0.258 0.883
J1620+1736 245.09083557 17.60666656 0.555 0.535 0.539 0.488 0.539
J1629+3808 247.55661011 37.97251129 1.461 1.11 1.436 0.981 1.436
J1631+1156 247.93824768 11.93421364 1.792 1.112 1.764 0.974 1.764
J1637+2509 249.48016357 25.15849495 1.11 0.999 1.089 0.888 1.089
J1649+3046 252.37028503 30.78122139 1.123 1.072 1.102 1.072 1.102
J1658+0515 254.6395874 5.25458336 0.879 0.539 0.86 0.499 0.86
J1704+7057 256.10876465 70.95970154 2.015 1.81 1.985 1.029 1.985
J1706+3615 256.64212036 36.25233459 0.918 0.826 0.899 0.794 0.899
J1712+5559 258.18371582 55.9973793 1.358 1.209 1.334 1.209 1.334
J1716+5654 259.09887695 56.91257095 0.937 -99.0 -99.0 0.905 0.918
J1722+5442 260.65429688 54.70116043 1.215 0.948 1.193 0.864 1.193
J1727+5302 261.91226196 53.04150009 1.444 1.032 1.42 1.032 1.42
J1729+5758 262.49499512 57.97731018 1.342 0.856 1.319 0.824 1.319
J1733+5533 263.34609985 55.55007172 1.072 0.999 1.051 0.999 1.051
J1858+5645 284.6121521 56.76560211 1.595 1.234 1.569 1.234 1.569
J1902+3159 285.7336731 31.99490356 0.635 0.482 0.619 0.482 0.619
J2051+1950 312.80267334 19.83527565 2.367 1.833 2.333 1.747 2.333
J2151+2130 327.94094849 21.50374985 1.534 1.17 1.509 1.004 1.509
J2154-4414 328.71316528 -44.23495865 0.344 0.256 0.331 0.256 0.331
J2215-2944 333.8168335 -29.73989105 2.706 0.936 2.594 0.862 2.594
J2233-6033 338.4069519 -60.55804062 2.238 0.265 2.206 0.263 2.206
J2246-1206 341.57583618 -12.11422253 0.63 0.499 0.614 0.499 0.614
J2253+1608 343.49084473 16.14816666 0.859 0.793 0.84 0.537 0.84
J2258-2758 344.52511597 -27.97254181 0.927 0.819 0.908 0.79 0.908
J2328+0022 352.08480835 0.37696999 1.308 0.836 1.285 0.809 1.285
J2331+0038 352.84085083 0.63507998 1.486 1.143 1.461 1.143 1.461
J2334+0052 353.66659546 0.86671001 1.04 0.854 1.02 0.823 1.02
J2339-0029 354.82427979 -0.49564999 1.34 -99.0 -99.0 1.155 1.317
J2342-0322 355.73583984 -3.37402773 0.896 0.539 0.877 0.499 0.877
J2346+0930 356.65374756 9.51277733 0.673 0.614 0.656 0.499 0.656
J2352-0028 358.22296143 -0.48091999 1.624 1.345 1.598 1.318 1.598
J2355-3357 358.85665894 -33.96549988 0.702 0.497 0.685 0.486 0.685
