# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
4.180 0.604 655 57 0.087 0.076 0.098 0.066 0.111 0.647 0.608 0.890 0.520 1.131
4.190 0.603 637 53 0.083 0.072 0.094 0.062 0.107 0.603 0.559 0.851 0.476 1.133
4.200 0.603 627 51 0.081 0.070 0.093 0.061 0.105 0.597 0.554 0.843 0.468 1.147
4.210 0.602 619 50 0.081 0.069 0.092 0.060 0.105 0.601 0.557 0.842 0.472 1.124
4.220 0.602 604 49 0.081 0.070 0.093 0.060 0.105 0.610 0.564 0.865 0.475 1.158
4.230 0.601 593 49 0.083 0.071 0.094 0.061 0.107 0.621 0.573 0.880 0.486 1.179
4.240 0.600 581 49 0.084 0.072 0.096 0.062 0.110 0.634 0.588 0.895 0.494 1.187
4.250 0.600 572 49 0.086 0.073 0.098 0.063 0.111 0.643 0.595 0.907 0.505 1.203
4.260 0.599 560 48 0.086 0.073 0.098 0.063 0.112 0.647 0.593 0.913 0.499 1.208
4.270 0.598 543 45 0.083 0.071 0.095 0.060 0.109 0.628 0.578 0.908 0.485 1.219
4.280 0.598 538 45 0.084 0.071 0.096 0.061 0.110 0.635 0.580 0.904 0.488 1.222
4.290 0.597 527 45 0.085 0.073 0.098 0.062 0.112 0.648 0.594 0.932 0.498 1.238
4.300 0.597 516 45 0.087 0.074 0.100 0.064 0.114 0.661 0.606 0.946 0.512 1.278
4.310 0.596 507 46 0.091 0.077 0.104 0.066 0.119 0.692 0.636 0.980 0.535 1.325
4.320 0.596 500 46 0.092 0.079 0.105 0.067 0.120 0.702 0.648 0.998 0.541 1.353
4.330 0.595 485 41 0.085 0.071 0.098 0.061 0.112 0.603 0.551 0.888 0.459 1.284
4.340 0.594 478 39 0.081 0.069 0.094 0.058 0.109 0.582 0.526 0.847 0.441 1.195
4.350 0.594 472 38 0.080 0.067 0.093 0.057 0.108 0.584 0.530 0.865 0.440 1.221
4.360 0.593 460 37 0.080 0.067 0.093 0.057 0.108 0.593 0.541 0.889 0.449 1.267
4.370 0.593 450 36 0.080 0.067 0.093 0.056 0.108 0.590 0.538 0.882 0.445 1.288
4.380 0.592 441 36 0.082 0.068 0.095 0.057 0.110 0.601 0.547 0.898 0.454 1.288
4.390 0.591 428 36 0.084 0.070 0.098 0.059 0.114 0.621 0.571 0.936 0.471 1.350
4.400 0.591 424 36 0.085 0.071 0.099 0.059 0.115 0.627 0.576 0.945 0.479 1.357
4.410 0.590 416 36 0.087 0.072 0.101 0.061 0.117 0.640 0.587 0.954 0.487 1.364
4.420 0.590 408 35 0.086 0.071 0.100 0.060 0.116 0.641 0.589 0.970 0.486 1.432
4.430 0.589 398 34 0.085 0.071 0.100 0.059 0.116 0.649 0.594 0.986 0.489 1.423
4.440 0.588 389 35 0.090 0.075 0.105 0.063 0.122 0.681 0.627 1.035 0.521 1.502
4.450 0.588 384 37 0.096 0.081 0.112 0.068 0.130 0.731 0.678 1.087 0.566 1.547
4.460 0.587 371 36 0.097 0.081 0.113 0.068 0.131 0.740 0.681 1.094 0.566 1.586
4.470 0.587 364 37 0.102 0.085 0.118 0.071 0.137 0.788 0.732 1.169 0.615 1.626
4.480 0.586 355 38 0.107 0.090 0.124 0.076 0.143 0.828 0.773 1.220 0.654 1.692
4.490 0.585 343 34 0.099 0.082 0.116 0.069 0.135 0.820 0.766 1.212 0.638 1.727
4.500 0.585 339 34 0.100 0.083 0.117 0.069 0.137 0.831 0.774 1.225 0.644 1.730
4.510 0.584 327 33 0.101 0.083 0.118 0.069 0.138 0.841 0.777 1.248 0.650 1.768
4.520 0.584 322 33 0.102 0.085 0.120 0.070 0.140 0.855 0.795 1.288 0.665 1.791
4.530 0.583 311 32 0.103 0.085 0.121 0.070 0.141 0.856 0.796 1.314 0.660 1.909
4.540 0.583 305 31 0.102 0.083 0.120 0.069 0.140 0.817 0.756 1.263 0.630 1.884
4.550 0.582 298 31 0.104 0.085 0.122 0.071 0.143 0.835 0.771 1.295 0.647 1.911
4.560 0.582 293 32 0.109 0.090 0.128 0.075 0.150 0.880 0.815 1.342 0.680 1.967
4.570 0.581 284 30 0.105 0.086 0.125 0.071 0.146 0.789 0.727 1.222 0.608 1.977
4.580 0.580 275 29 0.105 0.086 0.125 0.071 0.147 0.802 0.732 1.232 0.610 1.934
4.590 0.580 267 29 0.109 0.089 0.129 0.073 0.152 0.827 0.759 1.273 0.630 1.986
4.600 0.579 256 27 0.105 0.085 0.125 0.069 0.149 0.784 0.721 1.246 0.599 2.169
4.610 0.579 252 26 0.103 0.083 0.123 0.067 0.146 0.773 0.708 1.231 0.585 2.119
4.620 0.578 244 24 0.098 0.079 0.118 0.063 0.141 0.601 0.554 0.834 0.454 1.029
4.630 0.577 237 24 0.101 0.081 0.121 0.065 0.145 0.617 0.575 0.869 0.473 1.085
4.640 0.577 231 24 0.104 0.083 0.125 0.067 0.149 0.616 0.575 0.857 0.467 1.057
4.650 0.576 222 24 0.108 0.086 0.129 0.069 0.155 0.632 0.590 0.876 0.479 1.091
4.660 0.576 213 23 0.108 0.085 0.130 0.068 0.156 0.627 0.576 0.868 0.467 1.065
